order_id,hour,category,item_name,price,quantity,discount,total_amount,branch,payment_method,order_type,customer_id,rating,is_weekend,order_date,year,month,day_name
1779693,18,مقبلات,بابا غنوج,23.88,1,0,23.88,أسيوط,Card,Delivery,132131,3,0,2025-05-19,2025,5,Monday
71001,10,محاشي,محشي كوسة,73.11,1,0,73.11,القاهرة,Cash,Takeaway,3383,4,0,2020-01-21,2020,1,Tuesday
409753,14,مقبلات,بابا غنوج,35.65,6,0.1,192.54,القاهرة,Cash,Dine-in,20215,4,0,2025-04-23,2025,4,Wednesday
283841,15,مقبلات,بابا غنوج,67.52,4,0.1,243.09,القاهرة,Cash,Dine-in,71580,3,0,2020-02-06,2020,2,Thursday
994805,10,مشروبات,عصير قصب,27.32,5,0.1,122.95,الجيزة,Cash,Delivery,69135,2,0,2020-05-21,2020,5,Thursday
2116537,16,طواجن,طاجن بامية,123.46,3,0,370.38,الإسكندرية,Card,Delivery,48284,4,0,2024-01-16,2024,1,Tuesday
249905,20,مشويات,كفتة,143.53,3,0,430.6,القاهرة,Card,Delivery,118832,4,0,2022-08-22,2022,8,Monday
1304603,19,طواجن,طاجن فراخ,115.34,3,0,346.03,القاهرة,Card,Delivery,102374,4,1,2021-07-04,2021,7,Sunday
450363,21,مشروبات,عصير مانجو,25.81,5,0.1,116.14,القاهرة,Card,Dine-in,28005,4,1,2023-07-29,2023,7,Saturday
138399,10,مشويات,كباب,153.3,3,0,459.91,القاهرة,Card,Takeaway,36506,4,1,2022-10-15,2022,10,Saturday
2192551,14,مقبلات,طحينة,57.92,3,0,173.75,الجيزة,Card,Delivery,67255,3,1,2025-03-28,2025,3,Friday
1273008,18,مشروبات,عصير مانجو,29.84,3,0,89.51,القاهرة,Cash,Dine-in,160644,3,0,2022-04-21,2022,4,Thursday
232656,18,طواجن,طاجن فراخ,129.87,2,0,259.74,الإسكندرية,Card,Dine-in,142097,4,0,2022-01-05,2022,1,Wednesday
151767,21,مشويات,شيش طاووق,142.95,4,0.1,514.6,الجيزة,Card,Takeaway,168820,3,1,2024-09-21,2024,9,Saturday
147231,10,طواجن,طاجن ملوخية,115.78,1,0,115.78,القاهرة,Cash,Dine-in,92716,3,0,2020-05-21,2020,5,Thursday
328893,11,طواجن,طاجن فراخ,143.8,2,0,287.59,أسيوط,Wallet,Dine-in,108626,3,0,2025-04-09,2025,4,Wednesday
1098262,11,محاشي,محشي باذنجان,74.49,1,0,74.49,القاهرة,Wallet,Dine-in,101609,5,0,2020-11-10,2020,11,Tuesday
474004,11,مشروبات,عصير قصب,5.18,4,0.1,18.63,الجيزة,Card,Takeaway,148715,3,1,2020-09-25,2020,9,Friday
2494755,17,طواجن,طاجن بامية,113.43,1,0,113.43,الإسكندرية,Wallet,Takeaway,127028,3,0,2021-04-14,2021,4,Wednesday
260477,17,مشويات,كفتة,150.48,2,0,300.97,القاهرة,Wallet,Dine-in,80455,5,0,2024-04-24,2024,4,Wednesday
616213,13,مقبلات,طحينة,65.57,6,0.1,354.07,القاهرة,Cash,Takeaway,34757,4,0,2020-01-22,2020,1,Wednesday
1690674,16,طواجن,طاجن بامية,130.49,3,0,391.47,الجيزة,Cash,Dine-in,113943,3,1,2021-07-24,2021,7,Saturday
691447,14,طواجن,طاجن بامية,84.82,2,0,169.64,الإسكندرية,Card,Takeaway,94708,3,0,2023-02-07,2023,2,Tuesday
1656133,10,محاشي,محشي ورق عنب,85.41,2,0,170.83,القاهرة,Wallet,Takeaway,19793,4,1,2024-10-18,2024,10,Friday
655840,23,مشروبات,شاي,26.55,2,0,53.1,الإسكندرية,Cash,Dine-in,55806,4,0,2021-03-18,2021,3,Thursday
260880,17,مشروبات,عصير مانجو,23.66,3,0,70.98,الإسكندرية,Card,Dine-in,190202,4,0,2025-12-09,2025,12,Tuesday
2146047,17,مقبلات,طحينة,44.93,1,0,44.93,القاهرة,Wallet,Delivery,118623,3,0,2024-04-02,2024,4,Tuesday
810324,12,مقبلات,طحينة,56.57,3,0,169.71,القاهرة,Card,Delivery,127239,5,0,2023-08-01,2023,8,Tuesday
1874266,21,طواجن,طاجن ملوخية,113.97,4,0.1,410.3,الجيزة,Card,Dine-in,191173,4,0,2020-06-02,2020,6,Tuesday
844420,22,محاشي,محشي كوسة,65.23,6,0.1,352.26,الجيزة,Cash,Dine-in,85393,5,1,2024-03-17,2024,3,Sunday
54063,15,طواجن,طاجن ملوخية,117.42,3,0,352.25,المنصورة,Wallet,Dine-in,106479,4,0,2021-12-20,2021,12,Monday
1421260,12,مشروبات,عصير مانجو,25.86,3,0,77.58,طنطا,Wallet,Delivery,50051,3,1,2025-08-17,2025,8,Sunday
81440,16,محاشي,محشي ورق عنب,72.52,3,0,217.55,طنطا,Card,Dine-in,83288,4,1,2020-05-09,2020,5,Saturday
180411,13,طواجن,طاجن ملوخية,118.83,5,0.1,534.76,الإسكندرية,Card,Takeaway,129617,3,1,2023-12-17,2023,12,Sunday
148120,20,مقبلات,بابا غنوج,54.58,3,0,163.75,أسيوط,Wallet,Delivery,146053,2,1,2024-10-13,2024,10,Sunday
84660,20,طواجن,طاجن ملوخية,148.24,5,0.1,667.08,القاهرة,Cash,Takeaway,198269,4,0,2022-07-25,2022,7,Monday
839041,16,طواجن,طاجن فراخ,100.25,6,0.1,541.33,القاهرة,Wallet,Delivery,41121,4,0,2023-11-09,2023,11,Thursday
449166,11,مشويات,كباب,151.28,1,0,151.28,الإسكندرية,Card,Dine-in,149325,4,0,2021-02-04,2021,2,Thursday
1018873,23,طواجن,طاجن ملوخية,104.31,3,0,312.94,القاهرة,Cash,Dine-in,34668,5,0,2024-10-01,2024,10,Tuesday
867583,14,محاشي,محشي كوسة,78.01,3,0,234.04,القاهرة,Cash,Dine-in,190639,4,1,2023-02-03,2023,2,Friday
101258,15,محاشي,محشي ورق عنب,76.07,5,0.1,342.31,طنطا,Card,Dine-in,12276,3,0,2021-10-21,2021,10,Thursday
1090571,22,مقبلات,طحينة,43.69,5,0.1,196.61,القاهرة,Wallet,Dine-in,9104,5,1,2020-02-21,2020,2,Friday
2495655,13,مشروبات,عصير قصب,9.4,4,0.1,33.84,القاهرة,Wallet,Dine-in,105128,4,1,2025-04-04,2025,4,Friday
1146542,17,مشروبات,عصير مانجو,23.95,2,0,47.9,الجيزة,Cash,Takeaway,141876,5,1,2021-05-28,2021,5,Friday
169501,15,مشويات,كباب,153.64,2,0,307.28,القاهرة,Wallet,Delivery,192367,3,0,2021-12-09,2021,12,Thursday
820454,11,طواجن,طاجن فراخ,148.01,3,0,444.04,القاهرة,Cash,Delivery,142477,5,1,2023-09-09,2023,9,Saturday
138847,11,محاشي,محشي باذنجان,81.02,2,0,162.05,الإسكندرية,Cash,Delivery,146690,4,1,2021-07-31,2021,7,Saturday
618360,14,مشويات,كباب,148.99,4,0.1,536.37,طنطا,Cash,Delivery,64830,4,0,2024-05-01,2024,5,Wednesday
491501,19,مشروبات,عصير مانجو,31.66,5,0.1,142.46,القاهرة,Cash,Delivery,80172,4,1,2025-09-28,2025,9,Sunday
502207,12,طواجن,طاجن بامية,126.76,1,0,126.76,طنطا,Wallet,Delivery,103274,4,0,2025-08-27,2025,8,Wednesday
128025,19,طواجن,طاجن ملوخية,157.08,2,0,314.16,الجيزة,Cash,Delivery,188063,4,0,2023-07-11,2023,7,Tuesday
2205827,13,محاشي,محشي ورق عنب,75.5,3,0,226.49,طنطا,Wallet,Delivery,102466,3,1,2025-08-10,2025,8,Sunday
294886,19,مشروبات,عصير قصب,31.77,3,0,95.31,القاهرة,Card,Dine-in,66103,4,1,2020-07-19,2020,7,Sunday
1155108,19,طواجن,طاجن ملوخية,100.25,4,0.1,360.9,القاهرة,Cash,Dine-in,40154,5,0,2021-09-02,2021,9,Thursday
224445,19,مشروبات,عصير قصب,13.09,2,0,26.19,الإسكندرية,Card,Takeaway,73877,3,0,2025-12-11,2025,12,Thursday
2441232,23,مشويات,كفتة,155.63,5,0.1,700.36,الجيزة,Wallet,Dine-in,159291,5,1,2025-06-22,2025,6,Sunday
598516,19,طواجن,طاجن ملوخية,112.1,3,0,336.29,الإسكندرية,Cash,Delivery,135827,4,1,2020-07-25,2020,7,Saturday
903930,23,مشروبات,عصير مانجو,42.87,2,0,85.73,الإسكندرية,Cash,Dine-in,148637,3,0,2023-06-29,2023,6,Thursday
794795,21,مشويات,كباب,163.92,6,0.1,885.17,أسيوط,Card,Takeaway,25864,3,1,2022-06-11,2022,6,Saturday
966991,12,طواجن,طاجن ملوخية,140.43,2,0,280.85,طنطا,Cash,Takeaway,193133,4,1,2022-12-30,2022,12,Friday
203413,15,مشروبات,عصير مانجو,33.97,2,0,67.94,الإسكندرية,Card,Dine-in,68656,4,0,2025-06-09,2025,6,Monday
290307,15,محاشي,محشي ورق عنب,89.85,2,0,179.7,الإسكندرية,Cash,Dine-in,198618,4,0,2024-05-01,2024,5,Wednesday
46513,11,طواجن,طاجن فراخ,106.59,1,0,106.59,الإسكندرية,Card,Dine-in,70871,4,0,2025-08-04,2025,8,Monday
738221,21,مقبلات,بابا غنوج,14.83,3,0,44.49,القاهرة,Card,Dine-in,49748,4,0,2024-06-12,2024,6,Wednesday
535601,16,طواجن,طاجن فراخ,100.67,3,0,302.02,الإسكندرية,Cash,Delivery,111131,4,0,2024-09-24,2024,9,Tuesday
780416,12,مشروبات,عصير مانجو,42.02,3,0,126.06,القاهرة,Cash,Takeaway,181420,3,0,2023-12-18,2023,12,Monday
820229,23,مقبلات,طحينة,22.01,2,0,44.03,القاهرة,Cash,Takeaway,190333,4,0,2025-08-13,2025,8,Wednesday
486218,11,مقبلات,سلطة بلدي,40.37,3,0,121.11,الإسكندرية,Card,Dine-in,27772,4,1,2020-05-24,2020,5,Sunday
640023,12,مشويات,كباب,153.64,1,0,153.64,الجيزة,Card,Dine-in,156083,4,0,2021-08-18,2021,8,Wednesday
783424,11,مشويات,كفتة,134.29,2,0,268.59,الإسكندرية,Card,Dine-in,183965,4,1,2021-11-06,2021,11,Saturday
1871652,13,مشروبات,عصير مانجو,31.69,2,0,63.39,المنصورة,Cash,Takeaway,76023,3,0,2025-03-10,2025,3,Monday
51879,14,طواجن,طاجن بامية,124.58,3,0,373.73,المنصورة,Card,Dine-in,32215,3,0,2023-09-13,2023,9,Wednesday
296337,14,مشويات,كباب,159.28,3,0,477.84,القاهرة,Cash,Dine-in,2825,3,0,2022-09-21,2022,9,Wednesday
778016,10,مشروبات,عصير قصب,42.1,1,0,42.1,المنصورة,Wallet,Delivery,18608,3,0,2022-04-14,2022,4,Thursday
643540,10,طواجن,طاجن بامية,113.45,4,0.1,408.41,القاهرة,Cash,Takeaway,124874,5,1,2023-11-17,2023,11,Friday
839104,15,مقبلات,بابا غنوج,73.75,3,0,221.24,القاهرة,Cash,Delivery,112430,4,0,2025-04-08,2025,4,Tuesday
1386577,17,مشويات,شيش طاووق,147.4,2,0,294.81,القاهرة,Wallet,Dine-in,153301,4,0,2024-12-05,2024,12,Thursday
203900,22,محاشي,محشي باذنجان,70.65,3,0,211.95,القاهرة,Card,Takeaway,143345,4,1,2021-03-28,2021,3,Sunday
619398,12,محاشي,محشي ورق عنب,84.71,4,0.1,304.96,طنطا,Card,Delivery,102016,3,0,2023-02-02,2023,2,Thursday
1148097,11,مقبلات,سلطة بلدي,45.79,2,0,91.59,الإسكندرية,Cash,Dine-in,83775,3,0,2022-07-21,2022,7,Thursday
381425,11,مشروبات,شاي,10.07,1,0,10.07,الجيزة,Card,Dine-in,125108,3,0,2021-07-21,2021,7,Wednesday
600785,21,مشروبات,عصير مانجو,15.3,6,0.1,82.65,طنطا,Card,Delivery,12290,3,1,2022-12-16,2022,12,Friday
111207,22,طواجن,طاجن فراخ,116.16,2,0,232.31,طنطا,Cash,Dine-in,25674,3,0,2020-08-03,2020,8,Monday
260172,19,مشويات,كباب,175.89,3,0,527.66,طنطا,Cash,Delivery,87162,4,1,2024-08-09,2024,8,Friday
66021,12,طواجن,طاجن فراخ,128.27,2,0,256.55,القاهرة,Card,Dine-in,146841,4,0,2021-10-14,2021,10,Thursday
129075,22,طواجن,طاجن فراخ,117.6,4,0.1,423.36,الجيزة,Wallet,Dine-in,71105,4,1,2024-05-12,2024,5,Sunday
2240047,12,محاشي,محشي ورق عنب,72.37,4,0.1,260.52,القاهرة,Wallet,Dine-in,41512,4,0,2023-09-04,2023,9,Monday
695849,10,محاشي,محشي كوسة,83.62,3,0,250.86,الإسكندرية,Cash,Dine-in,194530,4,0,2023-03-16,2023,3,Thursday
627441,18,مشروبات,عصير قصب,35.49,3,0,106.47,المنصورة,Cash,Delivery,138158,3,1,2022-01-22,2022,1,Saturday
100374,21,مقبلات,طحينة,41.24,4,0.1,148.48,الجيزة,Cash,Delivery,104319,3,1,2021-03-27,2021,3,Saturday
201617,22,مقبلات,طحينة,39.17,2,0,78.34,المنصورة,Wallet,Dine-in,153061,3,0,2025-09-16,2025,9,Tuesday
227365,13,مقبلات,طحينة,28.96,5,0.1,130.32,الإسكندرية,Wallet,Dine-in,182912,5,1,2020-02-01,2020,2,Saturday
1817370,22,محاشي,محشي باذنجان,48.32,3,0,144.97,الجيزة,Cash,Dine-in,197391,4,0,2021-05-11,2021,5,Tuesday
1090652,10,مشروبات,عصير مانجو,-9.69,3,0,-29.07,المنصورة,Cash,Dine-in,189875,4,1,2025-12-14,2025,12,Sunday
652895,20,مشويات,كفتة,156.39,3,0,469.16,القاهرة,Wallet,Delivery,94285,4,0,2021-02-15,2021,2,Monday
33322,18,طواجن,طاجن فراخ,96.95,2,0,193.9,القاهرة,Cash,Takeaway,62420,5,1,2025-11-09,2025,11,Sunday
27878,19,مشروبات,شاي,21.12,3,0,63.37,القاهرة,Cash,Delivery,132506,4,1,2020-08-28,2020,8,Friday
108740,18,مقبلات,سلطة بلدي,45.26,3,0,135.79,الإسكندرية,Cash,Takeaway,60790,4,0,2024-08-14,2024,8,Wednesday
1437550,17,مشروبات,عصير قصب,11.11,5,0.1,49.97,المنصورة,Cash,Dine-in,54373,3,1,2024-07-06,2024,7,Saturday
619421,17,مشويات,كباب,151.14,1,0,151.14,القاهرة,Cash,Takeaway,49414,3,0,2020-04-28,2020,4,Tuesday
1588645,12,طواجن,طاجن بامية,117.03,2,0,234.05,الجيزة,Cash,Dine-in,163321,4,0,2022-05-04,2022,5,Wednesday
2386138,13,محاشي,محشي ورق عنب,101.74,2,0,203.49,القاهرة,Card,Dine-in,76260,4,0,2020-07-20,2020,7,Monday
408077,12,طواجن,طاجن فراخ,109.6,2,0,219.2,طنطا,Card,Delivery,87172,4,0,2022-03-10,2022,3,Thursday
691619,20,مقبلات,بابا غنوج,61.72,4,0.1,222.19,الجيزة,Cash,Dine-in,67792,4,1,2025-08-02,2025,8,Saturday
576021,11,مشويات,كفتة,154.54,2,0,309.09,الجيزة,Cash,Takeaway,109112,3,1,2023-01-06,2023,1,Friday
400383,20,مشروبات,عصير مانجو,37.01,3,0,111.04,القاهرة,Wallet,Delivery,137511,4,0,2020-10-01,2020,10,Thursday
62248,22,مشويات,كفتة,134.44,2,0,268.89,القاهرة,Cash,Dine-in,39631,5,0,2023-09-28,2023,9,Thursday
304831,21,محاشي,محشي باذنجان,55.14,4,0.1,198.49,طنطا,Wallet,Dine-in,106621,2,0,2023-02-13,2023,2,Monday
303566,22,مقبلات,بابا غنوج,40.15,3,0,120.45,القاهرة,Wallet,Dine-in,45700,4,1,2023-02-26,2023,2,Sunday
353280,23,طواجن,طاجن فراخ,120.76,2,0,241.53,المنصورة,Wallet,Dine-in,27439,4,0,2024-09-05,2024,9,Thursday
980202,21,مشويات,كباب,146.38,3,0,439.15,المنصورة,Cash,Dine-in,63994,4,0,2023-02-14,2023,2,Tuesday
2034048,12,مشروبات,عصير مانجو,36.22,2,0,72.44,الجيزة,Wallet,Delivery,64022,3,0,2025-08-04,2025,8,Monday
29587,13,مشويات,شيش طاووق,154.82,4,0.1,557.34,الجيزة,Wallet,Takeaway,128546,4,0,2020-11-17,2020,11,Tuesday
1521495,16,مشروبات,عصير مانجو,32.71,5,0.1,147.2,أسيوط,Wallet,Takeaway,23623,3,1,2025-10-17,2025,10,Friday
114054,16,مشويات,شيش طاووق,186.25,5,0.1,838.15,المنصورة,Cash,Dine-in,19044,3,0,2020-02-12,2020,2,Wednesday
1929069,15,مشويات,كباب,158.47,4,0.1,570.48,الإسكندرية,Card,Delivery,21650,4,0,2020-05-28,2020,5,Thursday
62995,23,مقبلات,طحينة,45.35,4,0.1,163.27,الجيزة,Cash,Dine-in,134176,4,1,2023-07-28,2023,7,Friday
1944146,23,مشروبات,عصير مانجو,38.97,2,0,77.94,القاهرة,Cash,Delivery,50222,4,0,2021-06-16,2021,6,Wednesday
1405219,14,مشويات,كباب,166.57,7,0.1,1049.42,أسيوط,Wallet,Takeaway,118366,2,0,2020-12-07,2020,12,Monday
877150,18,محاشي,محشي باذنجان,94.46,2,0,188.92,الجيزة,Wallet,Dine-in,121447,4,0,2021-11-17,2021,11,Wednesday
119938,16,مشويات,شيش طاووق,162,5,0.1,728.99,الجيزة,Wallet,Dine-in,132185,4,0,2024-01-03,2024,1,Wednesday
599752,18,محاشي,محشي باذنجان,109.74,1,0,109.74,القاهرة,Cash,Takeaway,41243,4,0,2024-02-20,2024,2,Tuesday
1005298,13,محاشي,محشي كوسة,81.8,2,0,163.59,القاهرة,Cash,Takeaway,17204,3,0,2024-03-20,2024,3,Wednesday
225308,14,محاشي,محشي ورق عنب,78.23,4,0.1,281.62,القاهرة,Card,Dine-in,40919,4,1,2021-09-18,2021,9,Saturday
57183,12,طواجن,طاجن فراخ,129.71,3,0,389.12,الجيزة,Cash,Takeaway,129723,4,1,2023-07-16,2023,7,Sunday
2104554,18,مشروبات,عصير مانجو,27.3,3,0,81.89,طنطا,Cash,Delivery,94053,3,1,2025-07-13,2025,7,Sunday
1194229,17,مشويات,كباب,164.67,3,0,494.01,القاهرة,Wallet,Delivery,109494,3,0,2021-02-01,2021,2,Monday
476104,13,مشروبات,عصير قصب,56.27,3,0,168.82,القاهرة,Card,Delivery,142536,4,0,2023-11-14,2023,11,Tuesday
2266421,13,مشويات,كباب,141.65,3,0,424.94,القاهرة,Cash,Dine-in,141994,4,1,2025-08-01,2025,8,Friday
766459,16,مشروبات,عصير قصب,8.38,5,0.1,37.72,المنصورة,Card,Takeaway,52280,3,1,2022-04-15,2022,4,Friday
189233,10,طواجن,طاجن ملوخية,73.41,2,0,146.82,القاهرة,Cash,Takeaway,50075,4,0,2024-04-02,2024,4,Tuesday
524027,10,طواجن,طاجن بامية,101.09,5,0.1,454.92,القاهرة,Cash,Delivery,103648,4,1,2022-07-16,2022,7,Saturday
2270606,11,طواجن,طاجن بامية,123.8,3,0,371.4,الإسكندرية,Card,Dine-in,33327,4,0,2024-09-09,2024,9,Monday
1222299,23,طواجن,طاجن فراخ,125.08,2,0,250.15,القاهرة,Cash,Dine-in,132641,4,0,2025-12-25,2025,12,Thursday
411225,21,مشروبات,عصير مانجو,24.44,5,0.1,110,القاهرة,Cash,Dine-in,179976,5,0,2023-05-17,2023,5,Wednesday
1383577,10,مشويات,كفتة,158.89,5,0.1,715,الجيزة,Card,Delivery,130873,3,0,2023-01-26,2023,1,Thursday
546053,18,محاشي,محشي باذنجان,76.36,1,0,76.36,الإسكندرية,Card,Takeaway,143556,4,0,2022-03-30,2022,3,Wednesday
310099,12,مقبلات,طحينة,83.98,5,0.1,377.91,القاهرة,Cash,Dine-in,122024,4,1,2020-09-26,2020,9,Saturday
224437,11,طواجن,طاجن فراخ,135.67,2,0,271.33,أسيوط,Cash,Delivery,115054,3,1,2022-12-03,2022,12,Saturday
1172960,19,طواجن,طاجن بامية,127.29,3,0,381.88,طنطا,Cash,Dine-in,91235,3,1,2025-04-18,2025,4,Friday
626667,14,محاشي,محشي كوسة,91.71,3,0,275.12,الجيزة,Cash,Dine-in,151292,3,0,2024-05-28,2024,5,Tuesday
731009,18,مشروبات,عصير مانجو,43.03,3,0,129.08,أسيوط,Wallet,Dine-in,119628,4,0,2021-09-01,2021,9,Wednesday
101276,13,مقبلات,طحينة,63.19,3,0,189.57,طنطا,Wallet,Dine-in,70776,3,1,2025-01-04,2025,1,Saturday
1354910,23,مشويات,كباب,124.48,4,0.1,448.14,الجيزة,Wallet,Takeaway,61035,3,0,2022-08-04,2022,8,Thursday
1726579,10,مشروبات,عصير قصب,20.49,2,0,40.98,طنطا,Cash,Dine-in,161354,4,1,2022-03-18,2022,3,Friday
579086,23,مشويات,كباب,173.7,3,0,521.11,القاهرة,Cash,Dine-in,31097,5,1,2024-06-14,2024,6,Friday
308732,22,طواجن,طاجن بامية,110.64,5,0.1,497.88,الجيزة,Wallet,Takeaway,169151,4,1,2020-06-21,2020,6,Sunday
51016,12,مشروبات,عصير مانجو,12.43,2,0,24.85,القاهرة,Card,Takeaway,34949,5,1,2024-03-22,2024,3,Friday
2284126,11,محاشي,محشي ورق عنب,78.77,2,0,157.54,طنطا,Cash,Takeaway,63313,3,0,2024-04-24,2024,4,Wednesday
189365,11,محاشي,محشي ورق عنب,90.69,1,0,90.69,القاهرة,Cash,Dine-in,116527,5,0,2021-02-18,2021,2,Thursday
1920098,13,محاشي,محشي باذنجان,64.04,3,0,192.11,القاهرة,Cash,Takeaway,194292,4,1,2024-12-27,2024,12,Friday
348586,13,مشويات,كباب,161.93,3,0,485.78,الجيزة,Card,Delivery,91495,3,0,2025-05-29,2025,5,Thursday
488596,14,طواجن,طاجن فراخ,105.94,3,0,317.81,القاهرة,Cash,Takeaway,103092,4,0,2020-12-08,2020,12,Tuesday
1435672,19,مشويات,كفتة,153.04,3,0,459.11,الجيزة,Cash,Takeaway,177647,3,0,2021-06-01,2021,6,Tuesday
387112,10,طواجن,طاجن ملوخية,108.82,3,0,326.47,طنطا,Card,Takeaway,45757,3,1,2021-07-16,2021,7,Friday
958632,11,محاشي,محشي ورق عنب,85.81,2,0,171.63,أسيوط,Card,Dine-in,115442,3,1,2023-10-29,2023,10,Sunday
1760834,21,مقبلات,طحينة,33.21,4,0.1,119.55,الإسكندرية,Cash,Delivery,93154,4,1,2023-05-20,2023,5,Saturday
1460365,21,مقبلات,طحينة,55.94,5,0.1,251.74,القاهرة,Cash,Delivery,146779,4,1,2020-10-23,2020,10,Friday
139094,12,مشويات,كباب,137.82,2,0,275.65,الإسكندرية,Card,Delivery,136183,4,1,2024-11-17,2024,11,Sunday
861474,13,مشويات,كباب,135.81,4,0.1,488.93,القاهرة,Cash,Takeaway,165110,3,0,2023-04-12,2023,4,Wednesday
202042,10,مشويات,كفتة,155.64,4,0.1,560.31,المنصورة,Cash,Dine-in,135865,4,1,2021-06-27,2021,6,Sunday
1375894,20,مشروبات,عصير قصب,25.49,4,0.1,91.78,الجيزة,Card,Delivery,78075,4,1,2024-05-04,2024,5,Saturday
451482,10,مشروبات,عصير مانجو,28.57,5,0.1,128.56,الجيزة,Cash,Dine-in,73905,4,1,2022-06-05,2022,6,Sunday
476119,17,طواجن,طاجن ملوخية,124.49,5,0.1,560.22,القاهرة,Cash,Delivery,47049,5,0,2020-04-06,2020,4,Monday
689163,19,مقبلات,سلطة بلدي,54.71,3,0,164.14,القاهرة,Card,Takeaway,146836,4,0,2022-04-12,2022,4,Tuesday
57625,13,مشويات,كباب,172.6,3,0,517.79,الجيزة,Cash,Delivery,148015,4,1,2020-08-15,2020,8,Saturday
1395132,15,مشويات,كباب,176.58,8,0.1,1271.35,القاهرة,Cash,Delivery,32581,4,1,2021-03-26,2021,3,Friday
430712,10,طواجن,طاجن فراخ,104.43,6,0.1,563.9,الجيزة,Wallet,Dine-in,139957,3,1,2024-12-29,2024,12,Sunday
432999,20,مقبلات,بابا غنوج,51.3,4,0.1,184.68,القاهرة,Cash,Delivery,199959,4,1,2023-07-02,2023,7,Sunday
831624,23,مشروبات,عصير مانجو,46.55,4,0.1,167.6,الإسكندرية,Wallet,Delivery,171143,5,1,2022-12-02,2022,12,Friday
316688,20,مشروبات,عصير مانجو,46.21,2,0,92.42,المنصورة,Card,Delivery,77469,3,0,2020-07-14,2020,7,Tuesday
139658,13,مشروبات,عصير قصب,44.02,2,0,88.04,القاهرة,Cash,Dine-in,84356,4,0,2023-08-09,2023,8,Wednesday
1910130,14,مقبلات,بابا غنوج,46.38,4,0.1,166.95,الإسكندرية,Card,Dine-in,173319,4,1,2020-07-12,2020,7,Sunday
1288482,17,مشويات,كباب,115.76,3,0,347.29,الجيزة,Card,Delivery,184055,4,0,2020-06-01,2020,6,Monday
